difficulty,question,pronunciation,answers,correct
필수기초단어,挨拶,あいさつ,"① 인사","① 인사"
필수기초단어,間,あいだ,"① 사이,간격\n② …동안","① 사이,간격\n② …동안"
필수기초단어,生憎,あいにく,"① 공교롭게도, 때마침","① 공교롭게도, 때마침"
필수기초단어,合う,あう,"① 합쳐지다,만나다\n② 서로 …하다\n③ 맞다","① 합쳐지다,만나다\n② 서로 …하다\n③ 맞다"
필수기초단어,青い·蒼い,あおい,"① 파랗다,푸르다\n② 창백하다","① 파랗다,푸르다\n② 창백하다"
필수기초단어,赤い,あかい,"① 붉다,빨갛다","① 붉다,빨갛다"
필수기초단어,上がる,あがる,"① 오르다","① 오르다"
필수기초단어,明るい,あかるい,"① 밝다\n② 환하다\n③ 명랑하다","① 밝다\n② 환하다\n③ 명랑하다"
필수기초단어,秋,あき,"① 가을","① 가을"
필수기초단어,開ける,あける,"① 열다\n② 사이를 떼다","① 열다\n② 사이를 떼다"
필수기초단어,上げる,あげる,"① 올리다","① 올리다"
필수기초단어,朝,あさ,"① 아침","① 아침"
필수기초단어,浅い,あさい,"① 얕다\n② 덜하다","① 얕다\n② 덜하다"
필수기초단어,明後日,あさって,"① 모레","① 모레"
필수기초단어,足,あし,"① 발\n② 걸음","① 발\n② 걸음"
필수기초단어,味,あじ,"① 맛\n② 멋,재미","① 맛\n② 멋,재미"
필수기초단어,明日,あした,"① 내일 (=동의어あす)","① 내일 (=동의어あす)"
필수기초단어,汗,あせ,"① 땀","① 땀"
필수기초단어,遊ぶ,あそぶ,"① 놀다\n② 쉬다","① 놀다\n② 쉬다"
필수기초단어,暖かい·温かい,あたたかい,"① 따뜻하다\n② 포근하다,훈훈하다","① 따뜻하다\n② 포근하다,훈훈하다"
필수기초단어,暖める·温める,あたためる,"① 따뜻하게 하다,덥게 하다\n② (새가) 알을 품다","① 따뜻하게 하다,덥게 하다\n② (새가) 알을 품다"
필수기초단어,頭,あたま,"① 머리\n② 두발,머리칼","① 머리\n② 두발,머리칼"
필수기초단어,新しい,あたらしい,"① 새롭다","① 새롭다"
필수기초단어,当(た)る,あたる,"① 맞다\n② 적중하다","① 맞다\n② 적중하다"
필수기초단어,暑い,あつい,"① 덥다","① 덥다"
필수기초단어,集まる,あつまる,"① 모이다,집중하다,떼지어 모이다","① 모이다,집중하다,떼지어 모이다"
필수기초단어,集める,あつめる,"① 모으다,집중시키다","① 모으다,집중시키다"
필수기초단어,当てる,あてる,"① 맞히다\n② 명중시키다\n③ 한몫 보다,성공하다","① 맞히다\n② 명중시키다\n③ 한몫 보다,성공하다"
필수기초단어,後,あと,"① 뒤\n② 뒤쪽,후방\n③ 앞으로,아직","① 뒤\n② 뒤쪽,후방\n③ 앞으로,아직"
필수기초단어,穴·孔,あな,"① 구멍\n② 구덩이","① 구멍\n② 구덩이"
필수기초단어,兄,あに,"① 형,오빠\n② 시아주버니,손위 처남 등의 총칭","① 형,오빠\n② 시아주버니,손위 처남 등의 총칭"
필수기초단어,姉,あね,"① 언니,누나\n② 처형","① 언니,누나\n② 처형"
필수기초단어,危ない,あぶない,"① 위험하다\n② 불안하다","① 위험하다\n② 불안하다"
필수기초단어,甘い,あまい,"① 달다\n② 허술하다","① 달다\n② 허술하다"
필수기초단어,余り,あまり,"① 나머지\n② 지나치게","① 나머지\n② 지나치게"
필수기초단어,雨,あめ,"① 비,우천","① 비,우천"
필수기초단어,謝る,あやまる,"① 사죄하다,사과하다","① 사죄하다,사과하다"
필수기초단어,洗う,あらう,"① 씻다,빨다","① 씻다,빨다"
필수기초단어,現(わ)れる·表われる·顕われる,あらわれる,"① 나타나다,드러나다","① 나타나다,드러나다"
필수기초단어,ある·有る,ある,"① 있다, 존재하다","① 있다, 존재하다"
필수기초단어,歩く,あるく,"① 걷다,산책하다","① 걷다,산책하다"
필수기초단어,合(わ)せる,あわせる,"① 맞추다,맞게하다","① 맞추다,맞게하다"
필수기초단어,安全,あんぜん,"① 안전","① 안전"
필수기초단어,案内,あんない,"① 안내\n② 통지\n③ 말을 전달함","① 안내\n② 통지\n③ 말을 전달함"
필수기초단어,良い·善い·好い,いい,"① 좋다\n② …하기 좋다,쉽다","① 좋다\n② …하기 좋다,쉽다"
필수기초단어,言う·いう·云う·謂う,いう,"① 말하다\n② …을 …라고 하다","① 말하다\n② …을 …라고 하다"
필수기초단어,家,いえ,"① 집\n② 주택","① 집\n② 주택"
필수기초단어,生きる·活きる,いきる,"① 살다\n② 생활하다","① 살다\n② 생활하다"
필수기초단어,行く·いく·往く,いく,"① 가다 (ゆく)","① 가다 (ゆく)"
필수기초단어,いくつ·幾つ,いくつ,"① 몇,몇 개\n② 몇 살","① 몇,몇 개\n② 몇 살"
필수기초단어,いけない,いけない,"① 좋지 않다\n② 바람직하지 않다\n③ 성과가 좋지 않다","① 좋지 않다\n② 바람직하지 않다\n③ 성과가 좋지 않다"
필수기초단어,意見,いけん,"① 의견","① 의견"
필수기초단어,石,いし,"① 돌","① 돌"
필수기초단어,医者,いしゃ,"① 의사 (=동의어医師<いし>)","① 의사 (=동의어医師<いし>)"
필수기초단어,椅子,いす,"① 의자\n② 관직 등의 직위,자리","① 의자\n② 관직 등의 직위,자리"
필수기초단어,忙しい,いそがしい,"① 바쁘다,분주하다","① 바쁘다,분주하다"
필수기초단어,急ぐ,いそぐ,"① 서두르다\n② 채비하다","① 서두르다\n② 채비하다"
필수기초단어,痛い,いたい,"① 아프다","① 아프다"
필수기초단어,致す,いたす,"① 하다,해 드리다\n② 일으키다","① 하다,해 드리다\n② 일으키다"
필수기초단어,頂き·戴き,いただき,"① 받다","① 받다"
필수기초단어,一,いち,"① 일\n② 하나,첫째\n③ 하나의,어떤","① 일\n② 하나,첫째\n③ 하나의,어떤"
필수기초단어,一緒,いっしょ,"① 두 사람 이상이 행동을 같이 함\n② 함께,같이","① 두 사람 이상이 행동을 같이 함\n② 함께,같이"
필수기초단어,一杯,いっぱい,"① 한 잔\n② 가득 찬","① 한 잔\n② 가득 찬"
필수기초단어,何時も,いつも,"① 언제나,늘\n② 여느 때","① 언제나,늘\n② 여느 때"
필수기초단어,田舎,いなか,"① 시골\n② 지방\n③ 전원","① 시골\n② 지방\n③ 전원"
필수기초단어,犬·狗,いぬ,"① 개","① 개"
필수기초단어,祈る·禱る,いのる,"① 빌다,기도하다\n② 진심으로 바라다,희망하다","① 빌다,기도하다\n② 진심으로 바라다,희망하다"
필수기초단어,今,いま,"① 지금,이제\n② 현재의\n③ 방금,막","① 지금,이제\n② 현재의\n③ 방금,막"
필수기초단어,意味,いみ,"① 의미,뜻\n② 의도,까닭","① 의미,뜻\n② 의도,까닭"
필수기초단어,妹,いもうと,"① 여동생\n② 처제,손아래 시누이 등을 총칭","① 여동생\n② 처제,손아래 시누이 등을 총칭"
필수기초단어,嫌だ,いやだ,"① 싫다","① 싫다"
필수기초단어,いらっしゃる,いらっしゃる,"① 오시다\n② …하고 계시다\n③ …이시다","① 오시다\n② …하고 계시다\n③ …이시다"
필수기초단어,居る,いる,"① 있다\n② 가만히 있다","① 있다\n② 가만히 있다"
필수기초단어,入れる,いれる,"① 넣다\n② 들어가게 하다","① 넣다\n② 들어가게 하다"
필수기초단어,色,いろ,"① 색,빛\n② 안색,낯빛","① 색,빛\n② 안색,낯빛"
필수기초단어,祝う,いわう,"① 축하하다,축복하다","① 축하하다,축복하다"
필수기초단어,上,うえ,"① 위\n② 손윗사람","① 위\n② 손윗사람"
필수기초단어,窺う,うかがう,"① 엿보다,살피다, (기회를) 노리다","① 엿보다,살피다, (기회를) 노리다"
필수기초단어,浮(か)ぶ,うかぶ,"① 뜨다, 떠오르다","① 뜨다, 떠오르다"
필수기초단어,浮く,うく,"① 뜨다\n② 마음이 흔들리다","① 뜨다\n② 마음이 흔들리다"
필수기초단어,受ける,うける,"① 받다\n② 호평을 받다,인기를 모으다","① 받다\n② 호평을 받다,인기를 모으다"
필수기초단어,動かす,うごかす,"① 움직이게 하다","① 움직이게 하다"
필수기초단어,動く,うごく,"① 움직이다\n② 옮아가다\n③ 작동하다,돌다","① 움직이다\n② 옮아가다\n③ 작동하다,돌다"
